;Compound;UniProt_name;rel_score;platform
88;113866-89-0;DHI1_HUMAN;0.4190115;in-house models
89;113866-89-0;DHI2_HUMAN;0.612092;in-house models
90;113866-89-0;ESR1_HUMAN;0.9601898268398269;in-house models
91;113866-89-0;ESR2_HUMAN;0.9438041666666668;in-house models
92;113866-89-0;GCR_HUMAN;0.17628868503825001;in-house models
93;113866-89-0;HYES_HUMAN;0.95175;in-house models
94;113866-89-0;LOX5_HUMAN;0.6488742000000001;in-house models
95;113866-89-0;MCR_HUMAN;0.2206363;in-house models
96;113866-89-0;MK14_HUMAN;0.0732686;in-house models
97;113866-89-0;NFKB1_HUMAN;0.8432069999999999;in-house models
98;113866-89-0;NR1H2_HUMAN;0.13574298;in-house models
99;113866-89-0;NR1H4_HUMAN;0.2958593333333333;in-house models
100;113866-89-0;PGH1_HUMAN;0.48345699999999997;in-house models
101;113866-89-0;PPARD_HUMAN;0.049152414000000005;in-house models
102;113866-89-0;PPARG_HUMAN;0.08615828333333332;in-house models
103;113866-89-0;PTN1_HUMAN;0.9426000000000001;in-house models
104;113866-89-0;Q6INT1_XENLA;0.10303355;in-house models
105;113900-91-7;CP19A_HUMAN;0.774075;in-house models
106;113900-91-7;CP2D6_HUMAN;0.6561140000000001;in-house models
107;113900-91-7;DHB3_HUMAN;0.9116666666666667;in-house models
108;113900-91-7;DHI1_HUMAN;0.260819;in-house models
109;113900-91-7;DHI2_HUMAN;0.6102879999999999;in-house models
110;113900-91-7;ESR1_HUMAN;0.9672666666666666;in-house models
111;113900-91-7;ESR2_HUMAN;0.9652;in-house models
112;113900-91-7;GCR_HUMAN;0.179605074;in-house models
113;113900-91-7;HYES_HUMAN;0.9500500000000001;in-house models
114;113900-91-7;LOX5_HUMAN;0.30404723333333333;in-house models
115;113900-91-7;MCR_HUMAN;0.22582157562083668;in-house models
116;113900-91-7;MK14_HUMAN;2.75448e-05;in-house models
117;113900-91-7;NR1H2_HUMAN;0.04957280807;in-house models
118;113900-91-7;NR1H4_HUMAN;0.3284563425;in-house models
119;113900-91-7;PGH1_HUMAN;0.6814720000000001;in-house models
120;113900-91-7;PPARA_HUMAN;0.0670495;in-house models
121;113900-91-7;PPARD_HUMAN;0.00207013;in-house models
122;113900-91-7;PPARG_HUMAN;0.028534900000000002;in-house models
123;113900-91-7;PTGES_HUMAN;0.537842;in-house models
124;116980-99-5;CP19A_HUMAN;0.823204;in-house models
125;116980-99-5;CP2D6_HUMAN;0.438863;in-house models
126;116980-99-5;DHI1_HUMAN;0.257277;in-house models
127;116980-99-5;DHI2_HUMAN;0.7556;in-house models
128;116980-99-5;NR1H4_HUMAN;0.201482;in-house models
129;116980-99-5;PGH1_HUMAN;0.376266;in-house models
130;117614-80-9 (R);ACES_HUMAN;0.7288720000000001;in-house models
131;117614-80-9 (R);AK1C3_HUMAN;0.361123;in-house models
132;117614-80-9 (R);CP19A_HUMAN;0.6897260000000001;in-house models
133;117614-80-9 (R);CP2D6_HUMAN;0.62497;in-house models
134;117614-80-9 (R);DHB2_HUMAN;0.9613333333333333;in-house models
135;117614-80-9 (R);DHB3_HUMAN;0.9625250000000001;in-house models
136;117614-80-9 (R);DHB4_HUMAN;0.28863856600000004;in-house models
137;117614-80-9 (R);DHI2_HUMAN;0.8296999999999999;in-house models
138;117614-80-9 (R);ESR1_HUMAN;0.9694698412698413;in-house models
139;117614-80-9 (R);ESR2_HUMAN;0.9772500000000001;in-house models
140;117614-80-9 (R);GCR_HUMAN;0.0180828;in-house models
141;117614-80-9 (R);HYES_HUMAN;0.9037499999999999;in-house models
142;117614-80-9 (R);LOX5_HUMAN;0.9353706666666666;in-house models
143;117614-80-9 (R);MCR_HUMAN;0.28483217499999997;in-house models
144;117614-80-9 (R);MK14_HUMAN;0.31966;in-house models
145;117614-80-9 (R);NR1H4_HUMAN;0.12078299999999999;in-house models
146;117614-80-9 (R);PGH1_HUMAN;0.28557;in-house models
147;117614-80-9 (R);Q6INT1_XENLA;0.0842507;in-house models
148;117614-80-9 (S);DHB2_HUMAN;0.9713888888888889;in-house models
149;117614-80-9 (S);DHB3_HUMAN;0.94895;in-house models
150;117614-80-9 (S);DHB4_HUMAN;0.9554;in-house models
151;117614-80-9 (S);DHI2_HUMAN;0.84345;in-house models
152;117614-80-9 (S);ESR1_HUMAN;0.9575416666666667;in-house models
153;117614-80-9 (S);ESR2_HUMAN;0.9741250000000001;in-house models
154;117614-80-9 (S);LOX5_HUMAN;0.94495;in-house models
155;117614-82-1 (R);3BHS1_HUMAN;0.9354;in-house models
156;117614-82-1 (R);ACES_HUMAN;0.2903925000073891;in-house models
157;117614-82-1 (R);AK1C3_HUMAN;0.5861850000000001;in-house models
158;117614-82-1 (R);CP19A_HUMAN;0.653309;in-house models
159;117614-82-1 (R);CP2D6_HUMAN;0.680471;in-house models
160;117614-82-1 (R);DHB2_HUMAN;0.9696666666666666;in-house models
161;117614-82-1 (R);DHB3_HUMAN;0.965225;in-house models
162;117614-82-1 (R);DHB4_HUMAN;0.3953973334050456;in-house models
163;117614-82-1 (R);DHI2_HUMAN;0.9019999999999999;in-house models
164;117614-82-1 (R);ESR1_HUMAN;0.964291156462585;in-house models
165;117614-82-1 (R);ESR2_HUMAN;0.976625;in-house models
166;117614-82-1 (R);LOX5_HUMAN;0.795604;in-house models
167;117614-82-1 (R);MCR_HUMAN;0.15464992500000002;in-house models
168;117614-82-1 (R);MK14_HUMAN;0.336415;in-house models
169;117614-82-1 (R);NR1H4_HUMAN;1.74783e-05;in-house models
170;117614-82-1 (R);PGH1_HUMAN;0.177593;in-house models
171;117614-82-1 (R);Q6INT1_XENLA;0.022000400000000003;in-house models
172;117614-82-1 (S);3BHS1_HUMAN;0.937;in-house models
173;117614-82-1 (S);DHB2_HUMAN;0.8594444444444443;in-house models
174;117614-82-1 (S);DHB3_HUMAN;0.9575499999999999;in-house models
175;117614-82-1 (S);DHI2_HUMAN;0.7328;in-house models
176;117614-82-1 (S);ESR1_HUMAN;0.9599687074829932;in-house models
177;117614-82-1 (S);ESR2_HUMAN;0.976;in-house models
178;1177716-02-7;CP19A_HUMAN;0.7218985;in-house models
179;1177716-02-7;DHB4_HUMAN;0.28511345535449995;in-house models
180;1177716-02-7;DHI2_HUMAN;0.933;in-house models
181;1177716-02-7;ESR1_HUMAN;0.9558111111111112;in-house models
182;1177716-02-7;Q6INT1_XENLA;0.40589400000000003;in-house models
183;117842-21-4;ACES_HUMAN;0.413128;in-house models
184;117842-21-4;CP19A_HUMAN;0.49063100000000004;in-house models
185;117842-21-4;CP2D6_HUMAN;0.48836685;in-house models
186;117842-21-4;GCR_HUMAN;0.3148303333333333;in-house models
187;117842-21-4;MCR_HUMAN;0.155835;in-house models
188;117842-21-4;MK14_HUMAN;0.0202307;in-house models
189;117842-21-4;NR1H2_HUMAN;0.20867282499999998;in-house models
190;117842-21-4;NR1H4_HUMAN;0.29558599999999996;in-house models
191;117842-21-4;PGH1_HUMAN;0.906486;in-house models
192;117842-21-4;PPARG_HUMAN;0.022957053333333335;in-house models
193;1196133-44-4;ACES_HUMAN;0.815411;in-house models
194;1196133-44-4;CP19A_HUMAN;0.5521659999999999;in-house models
195;1196133-44-4;CP2D6_HUMAN;0.5354225;in-house models
196;1196133-44-4;DHB3_HUMAN;0.9564999999999999;in-house models
197;1196133-44-4;DHI2_HUMAN;0.7702;in-house models
198;1196133-44-4;PGH1_HUMAN;0.67227;in-house models
199;1198475-52-3;AK1C3_HUMAN;0.419512;in-house models
200;1198475-52-3;CP19A_HUMAN;0.773001;in-house models
201;1198475-52-3;CP2D6_HUMAN;0.7218325;in-house models
202;1198475-52-3;DHB2_HUMAN;0.9551666666666667;in-house models
203;1198475-52-3;DHB3_HUMAN;0.9216666666666667;in-house models
204;1198475-52-3;DHB4_HUMAN;0.9548000000000001;in-house models
205;1198475-52-3;DHI1_HUMAN;0.360898;in-house models
206;1198475-52-3;DHI2_HUMAN;0.8423499999999999;in-house models
207;1198475-52-3;ESR1_HUMAN;0.9425444444444445;in-house models
208;1198475-52-3;ESR2_HUMAN;0.9259999999999999;in-house models
209;1198475-52-3;GCR_HUMAN;0.16566356166666665;in-house models
210;1198475-52-3;LOX5_HUMAN;0.44495179999999995;in-house models
211;1198475-52-3;MCR_HUMAN;0.3334512;in-house models
212;1198475-52-3;MK14_HUMAN;0.060422300000000005;in-house models
213;1198475-52-3;NR1H2_HUMAN;0.09952571666666667;in-house models
214;1198475-52-3;NR1H4_HUMAN;0.22306027500000003;in-house models
215;1198475-52-3;PGH1_HUMAN;0.9654309999999999;in-house models
216;1198475-52-3;PPARG_HUMAN;0.0246593;in-house models
217;1198475-53-4;ACES_HUMAN;0.831303;in-house models
218;1198475-53-4;AK1C3_HUMAN;0.154539;in-house models
219;1198475-53-4;CP19A_HUMAN;0.7497119999999999;in-house models
220;1198475-53-4;CP2D6_HUMAN;0.7341819999999999;in-house models
221;1198475-53-4;DHB3_HUMAN;0.89375;in-house models
222;1198475-53-4;DHB4_HUMAN;0.00410464;in-house models
223;1198475-53-4;DHI1_HUMAN;0.44008;in-house models
224;1198475-53-4;DHI2_HUMAN;0.9315;in-house models
225;1198475-53-4;ESR1_HUMAN;0.9565999999999999;in-house models
226;1198475-53-4;GCR_HUMAN;0.16832277642;in-house models
227;1198475-53-4;LOX5_HUMAN;0.704392;in-house models
228;1198475-53-4;MCR_HUMAN;0.206579045;in-house models
229;1198475-53-4;MK14_HUMAN;0.16783;in-house models
230;1198475-53-4;NR1H2_HUMAN;0.3133188;in-house models
231;1198475-53-4;NR1H4_HUMAN;0.20331525;in-house models
232;1198475-53-4;PGH1_HUMAN;0.945867;in-house models
233;1198475-53-4;PPARG_HUMAN;0.12204278833333333;in-house models
234;1208232-15-8;CP19A_HUMAN;0.653424;in-house models
235;1208232-15-8;DHB4_HUMAN;0.00305375000079345;in-house models
236;1208232-15-8;DHI2_HUMAN;0.8985;in-house models
237;1208232-15-8;ESR1_HUMAN;0.9049999999999999;in-house models
238;1208232-15-8;PTN1_HUMAN;0.5204852000000001;in-house models
239;121781-36-0;ACES_HUMAN;0.5894510000000001;in-house models
240;121781-36-0;CP19A_HUMAN;0.786936;in-house models
241;121781-36-0;CP2D6_HUMAN;0.431648;in-house models
242;121781-36-0;LOX5_HUMAN;0.424658;in-house models
243;121781-36-0;MCR_HUMAN;0.25846433333333335;in-house models
244;121781-36-0;PGH1_HUMAN;0.326166;in-house models
245;121781-37-1 (RR);CP19A_HUMAN;0.7349924999999999;in-house models
246;121781-37-1 (RR);DHB3_HUMAN;0.25890599999999997;in-house models
247;121781-37-1 (RR);DHB7_HUMAN;0.028707;in-house models
248;121781-37-1 (RR);DHI1_HUMAN;0.354035;in-house models
249;121781-37-1 (RR);DHI2_HUMAN;0.640713;in-house models
250;121781-37-1 (RR);GCR_HUMAN;0.191526;in-house models
251;121781-37-1 (RR);LOX5_HUMAN;0.21539899999999998;in-house models
252;121781-37-1 (RR);MCR_HUMAN;0.319188;in-house models
253;121781-37-1 (RR);MK14_HUMAN;0.0144599;in-house models
254;121781-37-1 (RR);NR1H2_HUMAN;0.07207179999999999;in-house models
255;121781-37-1 (RR);NR1H4_HUMAN;0.33079619304;in-house models
256;121781-37-1 (RR);PGH1_HUMAN;0.769779;in-house models
257;121781-37-1 (RR);PPARA_HUMAN;0.0803902;in-house models
258;121781-37-1 (RR);PPARD_HUMAN;0.00544987;in-house models
259;121781-37-1 (RR);PPARG_HUMAN;1.7645600000000003e-07;in-house models
260;121781-37-1 (RS);DHI2_HUMAN;0.850175;in-house models
261;121781-37-1 (SR);DHI2_HUMAN;0.8342999999999999;in-house models
262;121781-37-1 (SS);DHI2_HUMAN;0.8939999999999999;in-house models
263;1222818-87-2;CP19A_HUMAN;0.393388;in-house models
264;1222818-87-2;CP2D6_HUMAN;0.5249809999999999;in-house models
265;1222818-87-2;GCR_HUMAN;0.08931567948;in-house models
266;1222818-87-2;MCR_HUMAN;0.1988741;in-house models
267;1222818-87-2;NR1H2_HUMAN;0.245713625;in-house models
268;1222818-87-2;NR1H4_HUMAN;0.18303313333333335;in-house models
269;1222818-87-2;PGH1_HUMAN;0.8796209999999999;in-house models
270;1222818-87-2;PPARG_HUMAN;0.12039245;in-house models
271;122585-63-1;CP19A_HUMAN;0.7732319999999999;in-house models
272;122585-63-1;CP2D6_HUMAN;0.7707285;in-house models
273;122585-63-1;DHB3_HUMAN;0.6716256666666666;in-house models
274;122585-63-1;DHB4_HUMAN;0.00108663;in-house models
275;122585-63-1;DHI1_HUMAN;0.3792676666666667;in-house models
276;122585-63-1;DHI2_HUMAN;0.6758983333333334;in-house models
277;122585-63-1;ESR1_HUMAN;0.9539933333333334;in-house models
278;122585-63-1;ESR2_HUMAN;0.9318000000000001;in-house models
279;122585-63-1;GCR_HUMAN;0.209583651284;in-house models
280;122585-63-1;HYES_HUMAN;0.9393333333333334;in-house models
281;122585-63-1;LOX5_HUMAN;0.4425316666666667;in-house models
282;122585-63-1;MCR_HUMAN;0.44402420000000004;in-house models
283;122585-63-1;MK14_HUMAN;0.519649;in-house models
284;122585-63-1;NR1H2_HUMAN;0.045761037085799997;in-house models
285;122585-63-1;NR1H4_HUMAN;0.36789475;in-house models
286;122585-63-1;PGH1_HUMAN;0.5709380000000001;in-house models
287;122585-63-1;PPARA_HUMAN;0.00481742;in-house models
288;122585-63-1;PPARD_HUMAN;0.004405555;in-house models
289;122585-63-1;PPARG_HUMAN;0.05483904571428572;in-house models
290;122585-63-1;PTGES_HUMAN;0.15248;in-house models
291;122585-63-1;Q6INT1_XENLA;0.10316115000000001;in-house models
292;123134-05-4;CP19A_HUMAN;0.767871;in-house models
293;123134-05-4;CP2D6_HUMAN;0.7085685;in-house models
294;123134-05-4;DHB3_HUMAN;0.9354583333333333;in-house models
295;123134-05-4;DHI1_HUMAN;0.3747743333333333;in-house models
296;123134-05-4;DHI2_HUMAN;0.84585;in-house models
297;123134-05-4;ESR1_HUMAN;0.9660000000000001;in-house models
298;123134-05-4;ESR2_HUMAN;0.9670000000000001;in-house models
299;123134-05-4;GCR_HUMAN;0.16969464666666667;in-house models
300;123134-05-4;HYES_HUMAN;0.972;in-house models
301;123134-05-4;LOX5_HUMAN;0.31419553333333333;in-house models
302;123134-05-4;MCR_HUMAN;0.1601708375;in-house models
303;123134-05-4;MK14_HUMAN;0.061475;in-house models
304;123134-05-4;NR1H2_HUMAN;2.9788299999999998e-08;in-house models
305;123134-05-4;NR1H4_HUMAN;0.18234511539750003;in-house models
306;123134-05-4;PGH1_HUMAN;0.9036559999999999;in-house models
307;123134-05-4;PPARA_HUMAN;0.045906699999999995;in-house models
308;123134-05-4;PPARD_HUMAN;0.0679585118;in-house models
309;123134-05-4;PPARG_HUMAN;0.17745239999999998;in-house models
310;123134-05-4;PTGES_HUMAN;0.548725;in-house models
311;125574-35-8;ACES_HUMAN;0.4609;in-house models
312;125574-35-8;CP19A_HUMAN;0.41495;in-house models
313;125574-35-8;CP2D6_HUMAN;0.6189205;in-house models
314;125574-35-8;DHI2_HUMAN;0.7454000000000001;in-house models
315;125574-35-8;LOX5_HUMAN;0.9516666666666665;in-house models
316;125574-35-8;NR1H2_HUMAN;0.0108579;in-house models
317;125574-35-8;PGH1_HUMAN;0.563757;in-house models
318;125574-35-8;PPARG_HUMAN;0.0774989;in-house models
319;125574-36-9;ACES_HUMAN;0.20678000000000002;in-house models
320;125574-36-9;CP19A_HUMAN;0.606416;in-house models
321;125574-36-9;CP2D6_HUMAN;0.6752075;in-house models
322;125574-36-9;DHB3_HUMAN;0.927125;in-house models
323;125574-36-9;DHI2_HUMAN;0.7452;in-house models
324;125574-36-9;GCR_HUMAN;0.2661525;in-house models
325;125574-36-9;MCR_HUMAN;0.21159099999999997;in-house models
326;125574-36-9;NR1H2_HUMAN;0.00273005;in-house models
327;125574-36-9;NR1H4_HUMAN;0.194406;in-house models
328;125574-36-9;PGH1_HUMAN;0.6487689999999999;in-house models
329;125574-36-9;PPARG_HUMAN;0.0336535;in-house models
330;125574-36-9;Q6INT1_XENLA;0.08289869999999999;in-house models
331;1263062-45-8;CP19A_HUMAN;0.5733676666666666;in-house models
332;1263062-45-8;CP2D6_HUMAN;0.398008;in-house models
333;1263062-45-8;DHB3_HUMAN;0.931;in-house models
334;1263062-45-8;DHB4_HUMAN;0.13316728057326668;in-house models
335;1263062-45-8;ESR1_HUMAN;0.8766666666666666;in-house models
336;1263062-45-8;GCR_HUMAN;3.3854000000000002e-06;in-house models
337;1263062-45-8;LOX5_HUMAN;0.9337500000000001;in-house models
338;1263062-45-8;MK14_HUMAN;0.00859374;in-house models
339;1263062-45-8;PGH1_HUMAN;0.07028999999999999;in-house models
340;1263062-45-8;Q6INT1_XENLA;0.27618000000000004;in-house models
341;1265619-21-3;CP19A_HUMAN;0.596909;in-house models
342;1265619-21-3;DHB4_HUMAN;0.05873946980833333;in-house models
343;1265619-21-3;DHI2_HUMAN;0.92125;in-house models
344;1265619-21-3;ESR1_HUMAN;0.9598095238095238;in-house models
345;1265619-21-3;HYES_HUMAN;0.9422499999999999;in-house models
346;1265619-21-3;PTN1_HUMAN;0.9399;in-house models
347;1265619-21-3;Q6INT1_XENLA;0.245706;in-house models
348;130893-62-8;ACES_HUMAN;0.568002;in-house models
349;130893-62-8;CP19A_HUMAN;0.724924;in-house models
350;130893-62-8;CP2D6_HUMAN;0.7207715000000001;in-house models
351;130893-62-8;DHI1_HUMAN;0.4296766666666667;in-house models
352;130893-62-8;DHI2_HUMAN;0.94425;in-house models
353;130893-62-8;ESR1_HUMAN;0.9056666666666667;in-house models
354;130893-62-8;GCR_HUMAN;0.0136672;in-house models
355;130893-62-8;HYES_HUMAN;0.9095000000000001;in-house models
356;130893-62-8;LOX5_HUMAN;0.346542;in-house models
357;130893-62-8;MCR_HUMAN;0.303526;in-house models
358;130893-62-8;NFKB1_HUMAN;0.577839;in-house models
359;130893-62-8;NR1H2_HUMAN;0.04875797525;in-house models
360;130893-62-8;NR1H4_HUMAN;0.288601;in-house models
361;130893-62-8;PGH1_HUMAN;0.894742;in-house models
362;130893-62-8;PPARG_HUMAN;0.04492244946666668;in-house models
363;130893-62-8;PTN1_HUMAN;0.9344;in-house models
364;1320346-19-7;CP19A_HUMAN;0.612541;in-house models
365;1320346-19-7;CP2D6_HUMAN;0.460899;in-house models
366;1320346-19-7;DHI2_HUMAN;0.75;in-house models
367;1320346-19-7;GCR_HUMAN;2.9471799999999998e-05;in-house models
368;1320346-19-7;LOX5_HUMAN;0.9175000000000001;in-house models
369;1320346-19-7;Q6INT1_XENLA;0.0246656;in-house models
370;133347-38-3 (R);ACES_HUMAN;0.499541;in-house models
371;133347-38-3 (R);CP19A_HUMAN;0.228352;in-house models
372;133347-38-3 (R);CP2D6_HUMAN;0.201827;in-house models
373;133347-38-3 (R);DHB2_HUMAN;0.81125;in-house models
374;133347-38-3 (R);DHB3_HUMAN;0.9273750000000001;in-house models
375;133347-38-3 (R);DHI2_HUMAN;0.7306;in-house models
376;133347-38-3 (R);ESR1_HUMAN;0.938797619047619;in-house models
377;133347-38-3 (R);HYES_HUMAN;0.91175;in-house models
378;133347-38-3 (R);LOX5_HUMAN;0.145155;in-house models
379;133347-38-3 (S);DHB2_HUMAN;0.8008888888888889;in-house models
380;133347-38-3 (S);DHB3_HUMAN;0.913125;in-house models
381;133347-38-3 (S);DHI2_HUMAN;0.7308;in-house models
382;133347-38-3 (S);HYES_HUMAN;0.91275;in-house models
383;133347-38-3 (S);LOX5_HUMAN;0.9335000000000001;in-house models
384;135383-81-2;CP19A_HUMAN;0.43782;in-house models
385;135383-81-2;LOX5_HUMAN;0.9237500000000001;in-house models
386;137196-97-5;CP19A_HUMAN;0.510263;in-house models
387;137196-97-5;CP2D6_HUMAN;0.6249600000000001;in-house models
388;137196-97-5;DHB4_HUMAN;1.0601970150000002e-05;in-house models
389;137196-97-5;DHI2_HUMAN;0.823275;in-house models
390;137196-97-5;ESR1_HUMAN;0.9491964285714286;in-house models
391;137196-97-5;GCR_HUMAN;0.446108;in-house models
392;137196-97-5;HYES_HUMAN;0.9085000000000001;in-house models
393;137196-97-5;LOX5_HUMAN;0.14543;in-house models
394;137196-97-5;PGH1_HUMAN;0.8621709999999999;in-house models
395;137196-97-5;PTN1_HUMAN;0.9373999999999999;in-house models
396;137196-97-5;Q6INT1_XENLA;0.28120300000000004;in-house models
397;1379647-91-2;CP19A_HUMAN;0.7301409999999999;in-house models
398;1379647-91-2;CP2D6_HUMAN;0.5395475000000001;in-house models
399;1379647-91-2;DHB3_HUMAN;0.6696486666666668;in-house models
400;1379647-91-2;DHB4_HUMAN;0.04326386318666667;in-house models
401;1379647-91-2;DHI2_HUMAN;0.531754;in-house models
402;1379647-91-2;ESR1_HUMAN;0.9703333333333332;in-house models
403;1379647-91-2;GCR_HUMAN;0.08839261785;in-house models
404;1379647-91-2;HYES_HUMAN;0.968;in-house models
405;1379647-91-2;LOX5_HUMAN;0.7509;in-house models
406;1379647-91-2;MCR_HUMAN;0.18941666666666668;in-house models
407;1379647-91-2;PPARA_HUMAN;0.0267125;in-house models
408;1379647-91-2;Q6INT1_XENLA;0.0022627;in-house models
409;1379647-92-3;CP19A_HUMAN;0.69706;in-house models
410;1379647-92-3;CP2D6_HUMAN;0.568187;in-house models
411;1379647-92-3;DHB3_HUMAN;0.8904722222222223;in-house models
412;1379647-92-3;DHB4_HUMAN;0.32588983250003384;in-house models
413;1379647-92-3;DHI2_HUMAN;0.6777639999999999;in-house models
414;1379647-92-3;ESR1_HUMAN;0.9632555555555555;in-house models
415;1379647-92-3;ESR2_HUMAN;0.9491;in-house models
416;1379647-92-3;LOX5_HUMAN;0.477325;in-house models
417;1379647-92-3;MCR_HUMAN;0.10493926666666668;in-house models
