compound;platform;prob;UniProt_name
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KPCD_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PAK3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KPCA_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;ERBB4_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PKN2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;DAPK2_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;ACPM_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;CIA30_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUA1_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUA2_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUA3_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUA5_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUA6_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUA7_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUA8_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUA9_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUAA_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUAB_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUAC_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUAD_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUB1_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUB2_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUB3_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUB4_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUB5_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUB6_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUB7_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUB8_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUB9_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUBA_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUBB_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUC1_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUC2_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUF2_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUF3_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUF4_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUS1_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUS2_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUS3_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUS4_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUS5_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUS6_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUS7_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUS8_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUV1_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUV2_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NDUV3_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NU1M_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NU2M_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NU3M_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NU4LM_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NU5M_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NU6M_HUMAN
(-) epi-Adunctin E;SEA;2.79E-31;NUA4L_HUMAN
(-) epi-Adunctin E;SEA;9.22E-31;ADRB1_MOUSE
(-) epi-Adunctin E;SEA;2.80E-30;S28A3_HUMAN
(-) epi-Adunctin E;SEA;2.07E-19;TLR4_HUMAN
(-) epi-Adunctin E;SEA;6.66E-16;NDUA4_HUMAN
(-) epi-Adunctin E;SEA;2.33E-15;Q53I59_TRYCR
(-) epi-Adunctin E;SEA;8.32E-13;SC5A1_RAT
(-) epi-Adunctin E;SEA;1.76E-10;NU4M_HUMAN
(-) epi-Adunctin E;SEA;6.35E-08;SC5A2_RAT
(-) epi-Adunctin E;SEA;1.70E-07;MIP_LEGPN
(-) epi-Adunctin E;SEA;1.78E-06;Q8QGU2_CHICK
(-) Linderatin;SwissTargetPrediction;0.183404584;CATL1_HUMAN
(-) Linderatin;SwissTargetPrediction;0.104440651;LOX5_HUMAN
(-) Linderatin;SwissTargetPrediction;0.104440651;PTGES_HUMAN
(-) Linderatin;SEA;5.22E-21;PA2GA_RABIT
(-) Linderatin;SEA;7.15E-18;MDR1_HUMAN
(-) Linderatin;SEA;2.43E-11;B2LA1_HUMAN
(-) Linderatin;SEA;2.27E-10;P2RX1_MOUSE
(-) Linderatin;SEA;1.53E-09;HPPD_ARATH
(-) Linderatin;SEA;4.18E-09;PA2GA_RAT
(-) Linderatin;SEA;5.59E-09;TRPA1_RAT
(-) Linderatin;SEA;7.18E-09;LDHB_HUMAN
(-) Linderatin;SEA;3.56E-08;COMT_RAT
(-) Linderatin;SEA;5.21E-08;Q53I59_TRYCR
(-) Linderatin;SEA;7.34E-07;PA2G5_MOUSE
(-) Linderatin;SEA;9.71E-07;KCNK2_HUMAN
(-) Linderatin;SEA;1.11E-06;GPR18_HUMAN
(-) Linderatin;SEA;2.55E-06;PA2GA_MOUSE
(-) Linderatin;SEA;4.88E-06;FOLH1_RAT
(-) Linderatin;SEA;9.78E-06;DPOLB_RAT
(-) Methyllinderatin;SwissTargetPrediction;0.12282732;CATL1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;LOX5_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;PTGES_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;IMDH2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CCR1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;5HT1B_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;ADA1D_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;ADA1B_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;5HT7R_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;MMP3_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;MMP9_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;MMP1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;MMP2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;MMP7_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;MMP8_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;ESR1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;ESR2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;KPCG_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;PGH2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;KIF11_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;DRD3_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;EGFR_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;ATS5_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;LIPE_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;STAT6_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CCKAR_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;GASR_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;VGFR1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CD5R1_HUMAN|CDK5_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;PGFRB_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CRFR1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CXCR2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;ITK_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;MYLK_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;ACES_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;RORG_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;KCNA5_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CNR2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;LDLR_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;PPARG_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;TRPV1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;HS90A_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CP19A_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;RAF1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;BRAF_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;FNTA_HUMAN|FNTB_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;PGTB1_HUMAN|FNTA_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;OX1R_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;TSPO_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;BRD4_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CASR_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;DYR1A_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;S1PR3_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;PGH1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;DBF4A_HUMAN|CDC7_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;FA10_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;BRPF1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;ITAL_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CCNE1_HUMAN|CDK2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CDK5_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;P2RY1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;NK3R_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CATK_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;FAAH1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CAN2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;MTOR_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;PK3CA_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;SHH_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CATB_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;AMPN_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CCNE2_HUMAN|CDK2_HUMAN|CCNE1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;AA2AR_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;PDE4B_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;PDE10_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CHLE_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;JAK3_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;JAK2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;AL5AP_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;EGLN1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;C11B1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;BACE2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;C11B2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CATS_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CDK4_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;M3K8_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CCND1_HUMAN|CDK4_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;CDK1_HUMAN|CCNB1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;GBRB3_HUMAN|GBRA3_HUMAN|GBRG2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;GBRB3_HUMAN|GBRG2_HUMAN|GBRA1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;GBRB3_HUMAN|GBRG2_HUMAN|GBRA5_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;GBRA2_HUMAN|GBRB3_HUMAN|GBRG2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;LDHA_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;MCR_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;MK08_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;HS90B_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;LRRK2_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;NOS1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;NOS3_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;S29A1_HUMAN
(-) Methyllinderatin;SwissTargetPrediction;0.106165761;MMP16_HUMAN
(-) Methyllinderatin;SEA;1.54E-32;S28A3_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;ACPM_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;CIA30_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUA1_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUA2_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUA3_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUA5_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUA6_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUA7_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUA8_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUA9_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUAA_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUAB_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUAC_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUAD_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUB1_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUB2_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUB3_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUB4_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUB5_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUB6_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUB7_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUB8_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUB9_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUBA_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUBB_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUC1_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUC2_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUF2_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUF3_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUF4_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUS1_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUS2_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUS3_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUS4_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUS5_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUS6_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUS7_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUS8_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUV1_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUV2_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NDUV3_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NU1M_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NU2M_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NU3M_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NU4LM_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NU5M_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NU6M_HUMAN
(-) Methyllinderatin;SEA;2.80E-30;NUA4L_HUMAN
(-) Methyllinderatin;SEA;1.82E-20;MDR1_HUMAN
(-) Methyllinderatin;SEA;4.31E-19;P2RX1_MOUSE
(-) Methyllinderatin;SEA;1.61E-18;FFAR4_HUMAN
(-) Methyllinderatin;SEA;2.11E-15;NDUA4_HUMAN
(-) Methyllinderatin;SEA;5.77E-15;Q53I59_TRYCR
(-) Methyllinderatin;SEA;1.03E-13;SC5A1_RAT
(-) Methyllinderatin;SEA;7.01E-13;ADRB1_MOUSE
(-) Methyllinderatin;SEA;7.12E-13;FFAR1_HUMAN
(-) Methyllinderatin;SEA;1.04E-12;AK1C3_HUMAN
(-) Methyllinderatin;SEA;2.85E-11;A0A0C7ACN7_PSEAI
(-) Methyllinderatin;SEA;1.53E-10;CP24A_RAT
(-) Methyllinderatin;SEA;3.65E-10;NU4M_HUMAN
(-) Methyllinderatin;SEA;1.24E-08;FKB1A_HUMAN
(-) Methyllinderatin;SEA;1.83E-08;SC5A2_RAT
(-) Methyllinderatin;SEA;2.08E-08;Q49PX0_9POXV
(-) Methyllinderatin;SEA;3.33E-08;LPAR1_HUMAN
(-) Methyllinderatin;SEA;5.92E-08;SC5A2_HUMAN
