;Compound;UniProt_name;SEA;SuperPred;SwissTargetPrediction;in-house models
29;(-) Linderatin;CP19A_HUMAN;;;;0.535137
30;(-) Linderatin;CP2D6_HUMAN;;;;0.34628585
31;(-) Linderatin;DHI2_HUMAN;;;;0.7394
32;(-) Linderatin;DPOLB_RAT;9.78e-06;;;
33;(-) Linderatin;FOLH1_RAT;4.88e-06;;;
34;(-) Linderatin;GCR_HUMAN;;;;0.010505
35;(-) Linderatin;GPR18_HUMAN;1.11e-06;;;
36;(-) Linderatin;HPPD_ARATH;1.5299999999999999e-09;;;
37;(-) Linderatin;KCNK2_HUMAN;9.709999999999999e-07;;;
38;(-) Linderatin;LDHB_HUMAN;7.18e-09;;;
39;(-) Linderatin;LOX5_HUMAN;;;0.104440651;
40;(-) Linderatin;MDR1_HUMAN;7.15e-18;;;
41;(-) Linderatin;NR1H2_HUMAN;;;;0.0787785
42;(-) Linderatin;NR1H4_HUMAN;;;;0.0312236
43;(-) Linderatin;P2RX1_MOUSE;2.2700000000000002e-10;;;
44;(-) Linderatin;PA2G5_MOUSE;7.340000000000001e-07;;;
45;(-) Linderatin;PA2GA_MOUSE;2.55e-06;;;
46;(-) Linderatin;PA2GA_RABIT;5.22e-21;;;
47;(-) Linderatin;PA2GA_RAT;4.18e-09;;;
48;(-) Linderatin;PGH1_HUMAN;;;;0.40376
49;(-) Linderatin;PPARG_HUMAN;;;;0.000104059
50;(-) Linderatin;PTGES_HUMAN;;;0.104440651;0.00130492
51;(-) Linderatin;Q53I59_TRYCR;5.2099999999999997e-08;;;
52;(-) Linderatin;TRPA1_RAT;5.589999999999999e-09;;;
53;(-) Methyllinderatin;5HT1B_HUMAN;;;0.106165761;
54;(-) Methyllinderatin;5HT7R_HUMAN;;;0.106165761;
55;(-) Methyllinderatin;A0A0C7ACN7_PSEAI;2.8500000000000002e-11;;;
56;(-) Methyllinderatin;AA2AR_HUMAN;;;0.106165761;
57;(-) Methyllinderatin;ACES_HUMAN;;;0.106165761;
58;(-) Methyllinderatin;ACE_HUMAN;1.96e-06;;;
59;(-) Methyllinderatin;ACPM_HUMAN;2.8e-30;;;
60;(-) Methyllinderatin;ADA1B_HUMAN;;;0.106165761;
61;(-) Methyllinderatin;ADA1D_HUMAN;;;0.106165761;
62;(-) Methyllinderatin;ADRB1_MOUSE;7.009999999999999e-13;;;
63;(-) Methyllinderatin;AK1C3_HUMAN;1.04e-12;;;
64;(-) Methyllinderatin;AL5AP_HUMAN;;;0.106165761;
65;(-) Methyllinderatin;AMPN_HUMAN;;;0.106165761;
66;(-) Methyllinderatin;ATS5_HUMAN;;;0.106165761;
67;(-) Methyllinderatin;BACE2_HUMAN;;;0.106165761;
68;(-) Methyllinderatin;BRAF_HUMAN;;;0.106165761;
69;(-) Methyllinderatin;BRD4_HUMAN;;;0.106165761;
70;(-) Methyllinderatin;BRPF1_HUMAN;;;0.106165761;
71;(-) Methyllinderatin;C11B1_HUMAN;;;0.106165761;
72;(-) Methyllinderatin;C11B2_HUMAN;;;0.106165761;
73;(-) Methyllinderatin;CAN1_HUMAN;5.389999999999999e-07;;;
74;(-) Methyllinderatin;CAN2_HUMAN;;;0.106165761;
75;(-) Methyllinderatin;CASR_HUMAN;;;0.106165761;
76;(-) Methyllinderatin;CATB_HUMAN;;;0.106165761;
77;(-) Methyllinderatin;CATK_HUMAN;;;0.106165761;
78;(-) Methyllinderatin;CATL1_HUMAN;;;0.12282732;
79;(-) Methyllinderatin;CATS_HUMAN;;;0.106165761;
80;(-) Methyllinderatin;CCKAR_HUMAN;;;0.106165761;
81;(-) Methyllinderatin;CCND1_HUMAN|CDK4_HUMAN;;;0.106165761;
82;(-) Methyllinderatin;CCNE1_HUMAN|CDK2_HUMAN;;;0.106165761;
83;(-) Methyllinderatin;CCNE2_HUMAN|CDK2_HUMAN|CCNE1_HUMAN;;;0.106165761;
84;(-) Methyllinderatin;CCR1_HUMAN;;;0.106165761;
85;(-) Methyllinderatin;CD5R1_HUMAN|CDK5_HUMAN;;;0.106165761;
86;(-) Methyllinderatin;CDK1_HUMAN|CCNB1_HUMAN;;;0.106165761;
87;(-) Methyllinderatin;CDK4_HUMAN;;;0.106165761;
88;(-) Methyllinderatin;CDK5_HUMAN;;;0.106165761;
89;(-) Methyllinderatin;CHLE_HORSE;3.16e-07;;;
90;(-) Methyllinderatin;CHLE_HUMAN;;;0.106165761;
91;(-) Methyllinderatin;CIA30_HUMAN;2.8e-30;;;
92;(-) Methyllinderatin;CNR2_HUMAN;;;0.106165761;
93;(-) Methyllinderatin;CP19A_HUMAN;;;0.106165761;0.323454
94;(-) Methyllinderatin;CP24A_RAT;1.53e-10;;;
95;(-) Methyllinderatin;CP26B_HUMAN;1.63e-06;;;
96;(-) Methyllinderatin;CP2D6_HUMAN;;;;0.5216985
97;(-) Methyllinderatin;CRFR1_HUMAN;;;0.106165761;
98;(-) Methyllinderatin;CXCR2_HUMAN;;;0.106165761;
99;(-) Methyllinderatin;DBF4A_HUMAN|CDC7_HUMAN;;;0.106165761;
100;(-) Methyllinderatin;DHI2_HUMAN;;;;0.7394
101;(-) Methyllinderatin;DRD3_HUMAN;;;0.106165761;
102;(-) Methyllinderatin;DYR1A_HUMAN;;;0.106165761;
103;(-) Methyllinderatin;EGFR_HUMAN;;;0.106165761;
104;(-) Methyllinderatin;EGLN1_HUMAN;;;0.106165761;
105;(-) Methyllinderatin;ESR1_HUMAN;;;0.106165761;
106;(-) Methyllinderatin;ESR2_HUMAN;;;0.106165761;
107;(-) Methyllinderatin;FA10_HUMAN;;;0.106165761;
108;(-) Methyllinderatin;FAAH1_HUMAN;;;0.106165761;
109;(-) Methyllinderatin;FFAR1_HUMAN;7.120000000000001e-13;;;
110;(-) Methyllinderatin;FFAR4_HUMAN;1.61e-18;;;
111;(-) Methyllinderatin;FKB1A_HUMAN;1.24e-08;;;
112;(-) Methyllinderatin;FNTA_HUMAN|FNTB_HUMAN;;;0.106165761;
113;(-) Methyllinderatin;GASR_HUMAN;;;0.106165761;
114;(-) Methyllinderatin;GBRA2_HUMAN|GBRB3_HUMAN|GBRG2_HUMAN;;;0.106165761;
115;(-) Methyllinderatin;GBRB3_HUMAN|GBRA3_HUMAN|GBRG2_HUMAN;;;0.106165761;
116;(-) Methyllinderatin;GBRB3_HUMAN|GBRG2_HUMAN|GBRA1_HUMAN;;;0.106165761;
117;(-) Methyllinderatin;GBRB3_HUMAN|GBRG2_HUMAN|GBRA5_HUMAN;;;0.106165761;
118;(-) Methyllinderatin;GCR_HUMAN;;;;0.11259304978
119;(-) Methyllinderatin;HS90A_HUMAN;;;0.106165761;
120;(-) Methyllinderatin;HS90B_HUMAN;;;0.106165761;
121;(-) Methyllinderatin;IMDH2_HUMAN;;;0.106165761;
122;(-) Methyllinderatin;ITAL_HUMAN;;;0.106165761;
123;(-) Methyllinderatin;ITK_HUMAN;;;0.106165761;
124;(-) Methyllinderatin;JAK2_HUMAN;;;0.106165761;
125;(-) Methyllinderatin;JAK3_HUMAN;;;0.106165761;
126;(-) Methyllinderatin;KCNA5_HUMAN;;;0.106165761;
127;(-) Methyllinderatin;KCNK2_HUMAN;1.06e-06;;;
128;(-) Methyllinderatin;KIF11_HUMAN;;;0.106165761;
129;(-) Methyllinderatin;KPCG_HUMAN;;;0.106165761;
130;(-) Methyllinderatin;LDHA_HUMAN;;;0.106165761;
131;(-) Methyllinderatin;LDHB_HUMAN;7.08e-06;;;
132;(-) Methyllinderatin;LDLR_HUMAN;;;0.106165761;
133;(-) Methyllinderatin;LIPE_HUMAN;;;0.106165761;
134;(-) Methyllinderatin;LOX5_HUMAN;;;0.106165761;
135;(-) Methyllinderatin;LPAR1_HUMAN;3.33e-08;;;
136;(-) Methyllinderatin;LRRK2_HUMAN;;;0.106165761;
137;(-) Methyllinderatin;M3K8_HUMAN;;;0.106165761;
138;(-) Methyllinderatin;MCR_HUMAN;;;0.106165761;0.225183
139;(-) Methyllinderatin;MDR1_HUMAN;1.82e-20;;;
140;(-) Methyllinderatin;MK08_HUMAN;;;0.106165761;
141;(-) Methyllinderatin;MMP16_HUMAN;;;0.106165761;
142;(-) Methyllinderatin;MMP1_HUMAN;;;0.106165761;
143;(-) Methyllinderatin;MMP2_HUMAN;;;0.106165761;
144;(-) Methyllinderatin;MMP3_HUMAN;;;0.106165761;
145;(-) Methyllinderatin;MMP7_HUMAN;;;0.106165761;
146;(-) Methyllinderatin;MMP8_HUMAN;;;0.106165761;
147;(-) Methyllinderatin;MMP9_HUMAN;;;0.106165761;
148;(-) Methyllinderatin;MTOR_HUMAN;;;0.106165761;
149;(-) Methyllinderatin;MYLK_HUMAN;;;0.106165761;
150;(-) Methyllinderatin;NDUA1_HUMAN;2.8e-30;;;
151;(-) Methyllinderatin;NDUA2_HUMAN;2.8e-30;;;
152;(-) Methyllinderatin;NDUA3_HUMAN;2.8e-30;;;
153;(-) Methyllinderatin;NDUA4_HUMAN;2.11e-15;;;
154;(-) Methyllinderatin;NDUA5_HUMAN;2.8e-30;;;
155;(-) Methyllinderatin;NDUA6_HUMAN;2.8e-30;;;
156;(-) Methyllinderatin;NDUA7_HUMAN;2.8e-30;;;
157;(-) Methyllinderatin;NDUA8_HUMAN;2.8e-30;;;
158;(-) Methyllinderatin;NDUA9_HUMAN;2.8e-30;;;
159;(-) Methyllinderatin;NDUAA_HUMAN;2.8e-30;;;
160;(-) Methyllinderatin;NDUAB_HUMAN;2.8e-30;;;
161;(-) Methyllinderatin;NDUAC_HUMAN;2.8e-30;;;
162;(-) Methyllinderatin;NDUAD_HUMAN;2.8e-30;;;
163;(-) Methyllinderatin;NDUB1_HUMAN;2.8e-30;;;
164;(-) Methyllinderatin;NDUB2_HUMAN;2.8e-30;;;
165;(-) Methyllinderatin;NDUB3_HUMAN;2.8e-30;;;
166;(-) Methyllinderatin;NDUB4_HUMAN;2.8e-30;;;
167;(-) Methyllinderatin;NDUB5_HUMAN;2.8e-30;;;
168;(-) Methyllinderatin;NDUB6_HUMAN;2.8e-30;;;
169;(-) Methyllinderatin;NDUB7_HUMAN;2.8e-30;;;
170;(-) Methyllinderatin;NDUB8_HUMAN;2.8e-30;;;
171;(-) Methyllinderatin;NDUB9_HUMAN;2.8e-30;;;
172;(-) Methyllinderatin;NDUBA_HUMAN;2.8e-30;;;
173;(-) Methyllinderatin;NDUBB_HUMAN;2.8e-30;;;
174;(-) Methyllinderatin;NDUC1_HUMAN;2.8e-30;;;
175;(-) Methyllinderatin;NDUC2_HUMAN;2.8e-30;;;
176;(-) Methyllinderatin;NDUF2_HUMAN;2.8e-30;;;
177;(-) Methyllinderatin;NDUF3_HUMAN;2.8e-30;;;
178;(-) Methyllinderatin;NDUF4_HUMAN;2.8e-30;;;
179;(-) Methyllinderatin;NDUS1_HUMAN;2.8e-30;;;
180;(-) Methyllinderatin;NDUS2_HUMAN;2.8e-30;;;
181;(-) Methyllinderatin;NDUS3_HUMAN;2.8e-30;;;
182;(-) Methyllinderatin;NDUS4_HUMAN;2.8e-30;;;
183;(-) Methyllinderatin;NDUS5_HUMAN;2.8e-30;;;
184;(-) Methyllinderatin;NDUS6_HUMAN;2.8e-30;;;
185;(-) Methyllinderatin;NDUS7_HUMAN;2.8e-30;;;
186;(-) Methyllinderatin;NDUS8_HUMAN;2.8e-30;;;
187;(-) Methyllinderatin;NDUV1_HUMAN;2.8e-30;;;
188;(-) Methyllinderatin;NDUV2_HUMAN;2.8e-30;;;
189;(-) Methyllinderatin;NDUV3_HUMAN;2.8e-30;;;
190;(-) Methyllinderatin;NK3R_HUMAN;;;0.106165761;
191;(-) Methyllinderatin;NOS1_HUMAN;;;0.106165761;
192;(-) Methyllinderatin;NOS3_HUMAN;;;0.106165761;
193;(-) Methyllinderatin;NR1H2_HUMAN;;;;0.10892691915000001
194;(-) Methyllinderatin;NU1M_HUMAN;2.8e-30;;;
195;(-) Methyllinderatin;NU2M_HUMAN;2.8e-30;;;
196;(-) Methyllinderatin;NU3M_HUMAN;2.8e-30;;;
197;(-) Methyllinderatin;NU4LM_HUMAN;2.8e-30;;;
198;(-) Methyllinderatin;NU4M_HUMAN;3.65e-10;;;
199;(-) Methyllinderatin;NU5M_HUMAN;2.8e-30;;;
200;(-) Methyllinderatin;NU6M_HUMAN;2.8e-30;;;
201;(-) Methyllinderatin;NUA4L_HUMAN;2.8e-30;;;
202;(-) Methyllinderatin;OX1R_HUMAN;;;0.106165761;
203;(-) Methyllinderatin;P2RX1_MOUSE;4.3100000000000006e-19;;;
204;(-) Methyllinderatin;P2RY1_HUMAN;;;0.106165761;
205;(-) Methyllinderatin;PA24A_HUMAN;1.29e-07;;;
206;(-) Methyllinderatin;PAI1_HUMAN;1.01e-06;;;
207;(-) Methyllinderatin;PDE10_HUMAN;;;0.106165761;
208;(-) Methyllinderatin;PDE4B_HUMAN;;;0.106165761;
209;(-) Methyllinderatin;PGFRB_HUMAN;;;0.106165761;
210;(-) Methyllinderatin;PGH1_HUMAN;;;0.106165761;0.862978
211;(-) Methyllinderatin;PGH2_HUMAN;;;0.106165761;
212;(-) Methyllinderatin;PGTB1_HUMAN|FNTA_HUMAN;;;0.106165761;
213;(-) Methyllinderatin;PK3CA_HUMAN;;;0.106165761;
214;(-) Methyllinderatin;PPARG_HUMAN;;;0.106165761;0.006630500000000001
215;(-) Methyllinderatin;PTGES_HUMAN;;;0.106165761;
216;(-) Methyllinderatin;Q49PX0_9POXV;2.08e-08;;;
217;(-) Methyllinderatin;Q53I59_TRYCR;5.77e-15;;;
218;(-) Methyllinderatin;Q8QGU2_CHICK;7.070000000000001e-07;;;
219;(-) Methyllinderatin;RAF1_HUMAN;;;0.106165761;
220;(-) Methyllinderatin;RORG_HUMAN;;;0.106165761;
221;(-) Methyllinderatin;S1PR3_HUMAN;;;0.106165761;
222;(-) Methyllinderatin;S28A3_HUMAN;1.54e-32;;;
223;(-) Methyllinderatin;S29A1_HUMAN;;;0.106165761;
224;(-) Methyllinderatin;SC5A1_HUMAN;2.65e-07;;;
225;(-) Methyllinderatin;SC5A1_RAT;1.0300000000000002e-13;;;
226;(-) Methyllinderatin;SC5A2_HUMAN;5.92e-08;;;
227;(-) Methyllinderatin;SC5A2_RAT;1.8300000000000002e-08;;;
228;(-) Methyllinderatin;SHH_HUMAN;;;0.106165761;
229;(-) Methyllinderatin;STAT6_HUMAN;;;0.106165761;
230;(-) Methyllinderatin;TRPV1_HUMAN;;;0.106165761;
231;(-) Methyllinderatin;TSPO_HUMAN;;;0.106165761;
232;(-) Methyllinderatin;VGFR1_HUMAN;;;0.106165761;
233;(-) Neolinderatin;ACE2_RAT;3.51e-11;;;
234;(-) Neolinderatin;ACE_HUMAN;3.68e-11;;;
235;(-) Neolinderatin;ACE_RABIT;3.3700000000000004e-08;;;
236;(-) Neolinderatin;ACE_RAT;6.01e-06;;;
237;(-) Neolinderatin;CATL1_HUMAN;;;0.13064581;
238;(-) Neolinderatin;CBPA3_HUMAN;1.1099999999999999e-15;;;
239;(-) Neolinderatin;COMT_RAT;2.88e-08;;;
240;(-) Neolinderatin;CP19A_HUMAN;;;;0.4829
241;(-) Neolinderatin;CP2D6_HUMAN;;;;0.6115970000000001
242;(-) Neolinderatin;FFAR1_HUMAN;2.84e-08;;;
243;(-) Neolinderatin;FFAR4_HUMAN;6.46e-08;;;
244;(-) Neolinderatin;FOLH1_RAT;4.24e-06;;;
245;(-) Neolinderatin;GALR1_RAT;1.86e-08;;;
246;(-) Neolinderatin;GALR2_RAT;1.86e-08;;;
247;(-) Neolinderatin;HPPD_ARATH;2.75e-10;;;
248;(-) Neolinderatin;KCNK2_HUMAN;8.85e-07;;;
249;(-) Neolinderatin;LDHB_HUMAN;5.91e-09;;;
250;(-) Neolinderatin;LOX15_RAT;1.8e-07;;;
251;(-) Neolinderatin;MDR1_HUMAN;1.05e-17;;;
252;(-) Neolinderatin;NAAA_RAT;7e-08;;;
253;(-) Neolinderatin;NMDE2_RAT;3.19e-06;;;
254;(-) Neolinderatin;NR1H4_HUMAN;;;;0.17371533333333336
255;(-) Neolinderatin;P2RX1_MOUSE;4.7999999999999995e-28;;;
256;(-) Neolinderatin;PGH1_HUMAN;;;;0.735965
257;(-) Neolinderatin;PPARG_HUMAN;;;;0.0038237001720894995
258;(-) Neolinderatin;PPCE_BOVIN;3.7e-08;;;
259;(-) Neolinderatin;Q53I59_TRYCR;1.1800000000000001e-07;;;
260;(-) Neolinderatin;S22A6_RAT;4.11e-07;;;
261;(-) Neolinderatin;TRPA1_RAT;1.5e-07;;;
262;(-) Neolinderatin;VMAT2_HUMAN;3.65e-10;;;
263;(-) Neolinderatin;VMAT2_RAT;2.32e-14;;;
264;(-) epi-Adunctin E;AAPK2_HUMAN;;;0.106542926;
265;(-) epi-Adunctin E;ABL1_HUMAN;;;0.106542926;
266;(-) epi-Adunctin E;ACK1_HUMAN;;;0.106542926;
267;(-) epi-Adunctin E;ACPM_HUMAN;2.7899999999999996e-31;;;
268;(-) epi-Adunctin E;ADRB1_MOUSE;9.22e-31;;;
269;(-) epi-Adunctin E;AKT2_HUMAN;;;0.106542926;
270;(-) epi-Adunctin E;ATS5_HUMAN;;;0.106542926;
271;(-) epi-Adunctin E;AURKB_HUMAN;;;0.106542926;
272;(-) epi-Adunctin E;BLK_HUMAN;;;0.106542926;
273;(-) epi-Adunctin E;CALRL_HUMAN;;;0.106542926;
274;(-) epi-Adunctin E;CAN1_HUMAN|CPNS1_HUMAN;;;0.106542926;
275;(-) epi-Adunctin E;CASP1_HUMAN;;;0.106542926;
276;(-) epi-Adunctin E;CASP3_HUMAN;;;0.106542926;
277;(-) epi-Adunctin E;CASP8_HUMAN;;;0.106542926;
278;(-) epi-Adunctin E;CATB_HUMAN;;;0.106542926;
279;(-) epi-Adunctin E;CDK2_HUMAN;;;0.106542926;
280;(-) epi-Adunctin E;CFTR_HUMAN;;;0.106542926;
281;(-) epi-Adunctin E;CIA30_HUMAN;2.7899999999999996e-31;;;
282;(-) epi-Adunctin E;CP19A_HUMAN;;;0.106542926;0.537568
283;(-) epi-Adunctin E;CP2CJ_HUMAN;;;0.106542926;
284;(-) epi-Adunctin E;CP2D6_HUMAN;;;;0.45041319999999996
285;(-) epi-Adunctin E;CSF1R_HUMAN;;;0.106542926;
286;(-) epi-Adunctin E;CSK_HUMAN;;;0.106542926;
287;(-) epi-Adunctin E;DAPK1_HUMAN;;;0.106542926;
288;(-) epi-Adunctin E;DAPK2_HUMAN;;;0.106542926;
289;(-) epi-Adunctin E;DAPK3_HUMAN;;;0.106542926;
290;(-) epi-Adunctin E;DHI2_HUMAN;;;;0.7458
291;(-) epi-Adunctin E;DUSTY_HUMAN;;;0.106542926;
292;(-) epi-Adunctin E;ERBB4_HUMAN;;;0.106542926;
293;(-) epi-Adunctin E;FGFR1_HUMAN;;;0.106542926;
294;(-) epi-Adunctin E;FGFR3_HUMAN;;;0.106542926;
295;(-) epi-Adunctin E;FLT3_HUMAN;;;0.106542926;
296;(-) epi-Adunctin E;FNTA_HUMAN|FNTB_HUMAN;;;0.106542926;
297;(-) epi-Adunctin E;FUT5_HUMAN;;;0.106542926;
298;(-) epi-Adunctin E;FYN_HUMAN;;;0.106542926;
299;(-) epi-Adunctin E;GCR_HUMAN;;;;0.056905535
300;(-) epi-Adunctin E;GRK7_HUMAN;;;0.106542926;
301;(-) epi-Adunctin E;GSK3A_HUMAN;;;0.106542926;
302;(-) epi-Adunctin E;GSK3B_HUMAN;;;0.106542926;
303;(-) epi-Adunctin E;HIPK4_HUMAN;;;0.106542926;
304;(-) epi-Adunctin E;HUNK_HUMAN;;;0.106542926;
305;(-) epi-Adunctin E;ICK_HUMAN;;;0.106542926;
306;(-) epi-Adunctin E;ITK_HUMAN;;;0.106542926;
307;(-) epi-Adunctin E;JAK1_HUMAN;;;0.106542926;
308;(-) epi-Adunctin E;JAK2_HUMAN;;;0.106542926;
309;(-) epi-Adunctin E;JAK3_HUMAN;;;0.106542926;
310;(-) epi-Adunctin E;KAPCB_HUMAN;;;0.106542926;
311;(-) epi-Adunctin E;KCC1A_HUMAN;;;0.106542926;
312;(-) epi-Adunctin E;KCC2D_HUMAN;;;0.106542926;
313;(-) epi-Adunctin E;KCNA3_HUMAN;;;0.106542926;
314;(-) epi-Adunctin E;KGP2_HUMAN;;;0.106542926;
315;(-) epi-Adunctin E;KIT_HUMAN;;;0.106542926;
316;(-) epi-Adunctin E;KPCA_HUMAN;;;0.106542926;
317;(-) epi-Adunctin E;KPCD3_HUMAN;;;0.106542926;
318;(-) epi-Adunctin E;KPCD_HUMAN;;;0.106542926;
319;(-) epi-Adunctin E;KPCG_HUMAN;;;0.106542926;
320;(-) epi-Adunctin E;KS6A1_HUMAN;;;0.106542926;
321;(-) epi-Adunctin E;KS6A3_HUMAN;;;0.106542926;
322;(-) epi-Adunctin E;KSYK_HUMAN;;;0.106542926;
323;(-) epi-Adunctin E;LCK_HUMAN;;;0.106542926;
324;(-) epi-Adunctin E;LOX5_HUMAN;;;0.106542926;
325;(-) epi-Adunctin E;LRRK2_HUMAN;;;0.106542926;
326;(-) epi-Adunctin E;LT4R1_HUMAN;;;0.106542926;
327;(-) epi-Adunctin E;M3K10_HUMAN;;;0.106542926;
328;(-) epi-Adunctin E;M3K11_HUMAN;;;0.106542926;
329;(-) epi-Adunctin E;M3K13_HUMAN;;;0.106542926;
330;(-) epi-Adunctin E;M3K9_HUMAN;;;0.106542926;
331;(-) epi-Adunctin E;MAST1_HUMAN;;;0.106542926;
332;(-) epi-Adunctin E;MCR_HUMAN;;;;0.11242100000000001
333;(-) epi-Adunctin E;MET_HUMAN;;;0.106542926;
334;(-) epi-Adunctin E;MIP_LEGPN;1.7e-07;;;
335;(-) epi-Adunctin E;MK08_HUMAN;;;0.106542926;
336;(-) epi-Adunctin E;MK10_HUMAN;;;0.106542926;
337;(-) epi-Adunctin E;MMP13_HUMAN;;;0.106542926;
338;(-) epi-Adunctin E;MMP2_HUMAN;;;0.106542926;
339;(-) epi-Adunctin E;MP2K3_HUMAN;;;0.106542926;
340;(-) epi-Adunctin E;MP2K4_HUMAN;;;0.106542926;
341;(-) epi-Adunctin E;MP2K6_HUMAN;;;0.106542926;
342;(-) epi-Adunctin E;MYLK_HUMAN;;;0.106542926;
343;(-) epi-Adunctin E;NDUA1_HUMAN;2.7899999999999996e-31;;;
344;(-) epi-Adunctin E;NDUA2_HUMAN;2.7899999999999996e-31;;;
345;(-) epi-Adunctin E;NDUA3_HUMAN;2.7899999999999996e-31;;;
346;(-) epi-Adunctin E;NDUA4_HUMAN;6.66e-16;;;
347;(-) epi-Adunctin E;NDUA5_HUMAN;2.7899999999999996e-31;;;
348;(-) epi-Adunctin E;NDUA6_HUMAN;2.7899999999999996e-31;;;
349;(-) epi-Adunctin E;NDUA7_HUMAN;2.7899999999999996e-31;;;
350;(-) epi-Adunctin E;NDUA8_HUMAN;2.7899999999999996e-31;;;
351;(-) epi-Adunctin E;NDUA9_HUMAN;2.7899999999999996e-31;;;
352;(-) epi-Adunctin E;NDUAA_HUMAN;2.7899999999999996e-31;;;
353;(-) epi-Adunctin E;NDUAB_HUMAN;2.7899999999999996e-31;;;
354;(-) epi-Adunctin E;NDUAC_HUMAN;2.7899999999999996e-31;;;
355;(-) epi-Adunctin E;NDUAD_HUMAN;2.7899999999999996e-31;;;
356;(-) epi-Adunctin E;NDUB1_HUMAN;2.7899999999999996e-31;;;
357;(-) epi-Adunctin E;NDUB2_HUMAN;2.7899999999999996e-31;;;
358;(-) epi-Adunctin E;NDUB3_HUMAN;2.7899999999999996e-31;;;
359;(-) epi-Adunctin E;NDUB4_HUMAN;2.7899999999999996e-31;;;
360;(-) epi-Adunctin E;NDUB5_HUMAN;2.7899999999999996e-31;;;
361;(-) epi-Adunctin E;NDUB6_HUMAN;2.7899999999999996e-31;;;
362;(-) epi-Adunctin E;NDUB7_HUMAN;2.7899999999999996e-31;;;
363;(-) epi-Adunctin E;NDUB8_HUMAN;2.7899999999999996e-31;;;
364;(-) epi-Adunctin E;NDUB9_HUMAN;2.7899999999999996e-31;;;
365;(-) epi-Adunctin E;NDUBA_HUMAN;2.7899999999999996e-31;;;
366;(-) epi-Adunctin E;NDUBB_HUMAN;2.7899999999999996e-31;;;
367;(-) epi-Adunctin E;NDUC1_HUMAN;2.7899999999999996e-31;;;
368;(-) epi-Adunctin E;NDUC2_HUMAN;2.7899999999999996e-31;;;
369;(-) epi-Adunctin E;NDUF2_HUMAN;2.7899999999999996e-31;;;
370;(-) epi-Adunctin E;NDUF3_HUMAN;2.7899999999999996e-31;;;
371;(-) epi-Adunctin E;NDUF4_HUMAN;2.7899999999999996e-31;;;
372;(-) epi-Adunctin E;NDUS1_HUMAN;2.7899999999999996e-31;;;
373;(-) epi-Adunctin E;NDUS2_HUMAN;2.7899999999999996e-31;;;
374;(-) epi-Adunctin E;NDUS3_HUMAN;2.7899999999999996e-31;;;
375;(-) epi-Adunctin E;NDUS4_HUMAN;2.7899999999999996e-31;;;
376;(-) epi-Adunctin E;NDUS5_HUMAN;2.7899999999999996e-31;;;
377;(-) epi-Adunctin E;NDUS6_HUMAN;2.7899999999999996e-31;;;
378;(-) epi-Adunctin E;NDUS7_HUMAN;2.7899999999999996e-31;;;
379;(-) epi-Adunctin E;NDUS8_HUMAN;2.7899999999999996e-31;;;
380;(-) epi-Adunctin E;NDUV1_HUMAN;2.7899999999999996e-31;;;
381;(-) epi-Adunctin E;NDUV2_HUMAN;2.7899999999999996e-31;;;
382;(-) epi-Adunctin E;NDUV3_HUMAN;2.7899999999999996e-31;;;
383;(-) epi-Adunctin E;NR1H4_HUMAN;;;;0.386908
384;(-) epi-Adunctin E;NTRK1_HUMAN;;;0.106542926;
